From_Datetime, From_Transaction_Hash, From_Chain, From_Token, From_Value , From_Address, From_Nametag, To_Datetime, To_Transaction_Hash, To_Chain,To_Token, To_Value, To_Address, To_Nametag, Protocol
"2025-09-29 10:52:57","0xd72212a3fc089bf3578b5ea93eae1a59ba426aadaded2462a9651f3332f38b11","Polygon","Wrapped Ether","0.000414","0xdb33786708eeef2f4f609f3cde4ce2b0fd4c29a1","","2025-09-29 10:53:26","0x4a050feae40f8140a27bcb63c81237c513904960079bde81ad73cf4077877fc5","BNB Chain","Binance-Peg Ethereum Token","0.00041","0xad3bac97675fb40ccf2901d4f38b9edf4b52aca5","","Across"
"2025-09-29 10:48:27","0x3b9aad2aeee279edb7fe26fb115f64fa7e43046ce181b87dbf5cb1ec079805ca","BNB Chain","Binance-Peg Ethereum Token","0.000341","0x1337be6198cba9aa5a9be98ccde6711668268e5c","","2025-09-29 10:48:31","0xc32bf04ac95d6248c52ecdbbefbeaf1575ea00d4e4e22df6e4d2ba3772dc57c9","Polygon","Wrapped Ether","0.000341","0xdb33786708eeef2f4f609f3cde4ce2b0fd4c29a1","","Across"
"2025-09-29 10:30:01","0x4de10b871242c0257b256e4c028b4e82c8d6189e6e254a931f222273fa169a35","Base","Bridged Tether USD","3.587224","0xdb33786708eeef2f4f609f3cde4ce2b0fd4c29a1","","2025-09-29 10:30:03","0x62137753727307c1f32ec55fdb80b90486f77cc0dd2fd0ff7270e371d0a7034f","BNB Chain","Binance-Peg BSC-USD","3.566107","0xad3bac97675fb40ccf2901d4f38b9edf4b52aca5","","Across"
"2025-09-29 10:01:35","0xe5d0eed3fed0093b7353dfe9d1185b5a8319ca8e1766ae77ea4f644089606e62","Ethereum","ETH","0.000478","0xdb33786708eeef2f4f609f3cde4ce2b0fd4c29a1","","2025-09-29 10:01:39","0x91e4444a073420e571d06b07077f9b8a5f8a1a747d86f99dcbac032147c3bce2","Base","ETH","0.000478","0xdb33786708eeef2f4f609f3cde4ce2b0fd4c29a1","","Across"
"2025-07-03 18:43:11","0x75372b3f290945fee93efc24d40b16637255523c4705a1fad385b096f4419703","World","WORLD","0.0021","0x1337be6198cba9aa5a9be98ccde6711668268e5c","","2025-07-03 18:43:13","0xde917eca4ceeb0f2dcfa3688ba03d1a51c7406ce28c30ab2e43bd36eab5d5046","Base","ETH","0.002097","0xdb33786708eeef2f4f609f3cde4ce2b0fd4c29a1","","Across"
